COUNTRYAFF,counts
Afghanistan,1
Albania,32
Algeria,98
Andorra,6
Angola,8
Antarctica,70
Antigua and Barbuda,5
Argentina,943
Armenia,6
Aruba,11
Australia,3966
Austria,524
Azerbaijan,53
The Bahamas,13
Bahrain,96
Bangladesh,348
Barbados,13
Belarus,184
Belgium,961
Belize,8
Benin,1
Bhutan,8
Bolivia,14
Bosnia and Herzegovina,124
Botswana,3
Brazil,8160
Brunei,51
Bulgaria,967
Burkina Faso,4
Cabo Verde,2
Cambodia,14
Cameroon,2
Canada,7159
Chad,2
Chile,647
China,347
Colombia,369
Comoros,1
Republic of the Congo,1
Democratic Republic of the Congo,4
Costa Rica,141
Croatia,603
Cuba,5
Cyprus,40
Czechia,569
Ivory Coast,1
Denmark,812
Djibouti,3
Dominica,4
Dominican Republic,77
Ecuador,60
Egypt,297
El Salvador,38
Equatorial Guinea,1
Estonia,402
Eswatini,2
Fiji,7
Finland,1651
France,2938
Gabon,1
Georgia,127
Germany,4177
Ghana,4
Greece,937
Grenada,3
Guatemala,55
Guinea,2
Guyana,6
Haiti,3
Honduras,24
Hungary,1080
Iceland,81
India,1203
Indonesia,3278
Iran,120
Iraq,86
Ireland,485
Israel,614
Italy,1918
Jamaica,52
Jordan,76
Kazakhstan,72
Kenya,28
Kiribati,1
Kosovo,8
Kuwait,159
Kyrgyzstan,2
Laos,2
Latvia,428
Lebanon,51
Liberia,4
Libya,37
Liechtenstein,5
Lithuania,808
Luxembourg,39
Madagascar,11
Malaysia,1298
Maldives,28
Mali,3
Malta,73
Marshall Islands,1
Mauritania,1
Mauritius,42
Mexico,1106
Moldova,59
Monaco,5
Mongolia,83
Montenegro,23
Morocco,165
Mozambique,2
Myanmar,25
Namibia,2
Nepal,57
Netherlands,3202
New Zealand,784
Nicaragua,11
Nigeria,32
North Korea,15
North Macedonia,47
Norway,1499
Null Island,1
Oman,30
Pakistan,200
Palestine,22
Panama,64
Papua New Guinea,6
Paraguay,28
Peru,239
Philippines,4504
Poland,8246
Portugal,2477
Qatar,72
Romania,1536
Russia,4550
Saint Kitts and Nevis,4
Saint Lucia,7
Saint Vincent and the Grenadines,3
Samoa,1
San Marino,2
Saudi Arabia,798
Senegal,1
Republic of Serbia,507
Seychelles,2
Sierra Leone,2
Singapore,1133
Slovakia,409
Slovenia,160
Solomon Islands,1
Somalia,2
South Africa,348
South Korea,218
Spain,2160
Sri Lanka,55
Sudan,24
Suriname,9
Sweden,2469
Switzerland,316
Syria,56
Taiwan,57
United Republic of Tanzania,4
Thailand,305
Togo,1
Trinidad and Tobago,70
Tunisia,119
Turkey,1348
Uganda,7
Ukraine,773
United Arab Emirates,469
United Kingdom,7661
United States of America,34299
Uruguay,93
Uzbekistan,10
Vatican City,3
Venezuela,319
Vietnam,263
Yemen,10
Zambia,2
Zimbabwe,9
